,support,thresh_prior,thresh_tuned,auc_prior,auc_tuned,auc_delta,precision_prior,precision_tuned,precision_delta,recall_prior,recall_tuned,recall_delta,f1_prior,f1_tuned,f1_delta
Emphysema,1093,0.5,0.143,0.8918,0.8918,0.0,0.5816,0.3885,-0.1931,0.1793,0.462,0.2827,0.2741,0.4221,0.148
Cardiomegaly,1069,0.5,0.067,0.8785,0.8785,0.0,0.5966,0.3154,-0.2812,0.0982,0.5098,0.4116,0.1687,0.3897,0.221
Hernia,86,0.5,0.016,0.8717,0.8717,0.0,0.0,0.3,0.3,0.0,0.0698,0.0698,0.0,0.1132,0.1132
Pneumothorax,2665,0.5,0.138,0.8524,0.8524,0.0,0.5553,0.4114,-0.1439,0.0979,0.5302,0.4323,0.1665,0.4633,0.2968
Edema,925,0.5,0.105,0.8444,0.8444,0.0,1.0,0.1855,-0.8145,0.0032,0.333,0.3298,0.0065,0.2383,0.2318
Effusion,4658,0.5,0.237,0.8198,0.8198,0.0,0.5855,0.4091,-0.1764,0.3132,0.6973,0.3841,0.4081,0.5157,0.1076
Fibrosis,435,0.5,0.038,0.7985,0.7985,0.0,0.0,0.0936,0.0936,0.0,0.2736,0.2736,0.0,0.1394,0.1394
Mass,1748,0.5,0.318,0.7861,0.7861,0.0,0.4354,0.314,-0.1214,0.1716,0.3598,0.1882,0.2462,0.3354,0.0892
Atelectasis,3279,0.5,0.27,0.7591,0.7591,0.0,0.4383,0.2969,-0.1414,0.1656,0.5096,0.344,0.2404,0.3752,0.1348
Pleural_Thickening,1143,0.5,0.086,0.7554,0.7554,0.0,0.0,0.1248,0.1248,0.0,0.3718,0.3718,0.0,0.1869,0.1869
Nodule,1623,0.5,0.173,0.7364,0.7364,0.0,0.5,0.2464,-0.2536,0.0271,0.2631,0.236,0.0514,0.2545,0.2031
Consolidation,1815,0.5,0.17,0.7348,0.7348,0.0,0.0,0.1602,0.1602,0.0,0.4435,0.4435,0.0,0.2353,0.2353
Pneumonia,555,0.5,0.036,0.7027,0.7027,0.0,0.0,0.0654,0.0654,0.0,0.2018,0.2018,0.0,0.0988,0.0988
Infiltration,6112,0.5,0.152,0.6834,0.6834,0.0,0.4432,0.3076,-0.1356,0.1366,0.8123,0.6757,0.2089,0.4462,0.2373
